,zielort,anzahl,anzahl_prozent,weiblich,weiblich_prozent,maennlich,maennlich_prozent,entfernung_in_km,year,category,breitengrad,laengengrad,herkunftsort,herkunftsort_laengengrad,herkunftsort_breitengrad
56,Köln,8997,"8,9",3841,"8,9",5156,"8,8","34,2",2016,outgoing commuters,"51,4344","6,7623",Düsseldorf,"6,7735","51,2277"
57,Essen,5413,"5,3",2397,"5,5",3016,"5,2","26,4",2016,outgoing commuters,"50,9375","6,9603",Düsseldorf,"6,7735","51,2277"
58,Duisburg,4574,"4,5",2051,"4,7",2523,"4,3","23,3",2016,outgoing commuters,"51,4556","7,0116",Düsseldorf,"6,7735","51,2277"
59,Krefeld,3399,"3,3",1415,"3,3",1984,"3,4","20,2",2016,outgoing commuters,"51,3369","6,5535",Düsseldorf,"6,7735","51,2277"
60,Wuppertal,3072,3,1390,"3,2",1682,"2,9","25,1",2016,outgoing commuters,"51,1805","6,4425",Düsseldorf,"6,7735","51,2277"
61,Mönchengladbach,2616,"2,6",1281,3,1335,"2,3","28,9",2016,outgoing commuters,"51,2562","7,1507",Düsseldorf,"6,7735","51,2277"
62,Mülheim an der Ruhr,1907,"1,9",771,"1,8",1136,"1,9","20,4",2016,outgoing commuters,"51,4309","6,8785",Düsseldorf,"6,7735","51,2277"
63,Leverkusen,1775,"1,7",757,"1,8",1018,"1,7","24,9",2016,outgoing commuters,"51,1734","7,0845",Düsseldorf,"6,7735","51,2277"
64,Solingen,1680,"1,7",705,"1,6",975,"1,7","19,6",2016,outgoing commuters,"51,496","6,8517",Düsseldorf,"6,7735","51,2277"
65,Bonn,1292,"1,3",569,"1,3",723,"1,2","62,6",2016,outgoing commuters,"51,4812","7,2195",Düsseldorf,"6,7735","51,2277"
66,Dortmund,993,1,363,"0,8",630,"1,1","55,8",2016,outgoing commuters,"51,5136","7,4653",Düsseldorf,"6,7735","51,2277"
67,Oberhausen,916,"0,9",401,"0,9",515,"0,9",31,2016,outgoing commuters,"51,0451","6,9944",Düsseldorf,"6,7735","51,2277"
68,Ratingen,6633,"6,5",3017,7,3616,"6,2","9,9",2016,outgoing commuters,"51,2969","6,8528",Düsseldorf,"6,7735","51,2277"
69,Hilden,4096,4,1761,"4,1",2335,4,"11,5",2016,outgoing commuters,"51,1657","6,9362",Düsseldorf,"6,7735","51,2277"
70,Langenfeld (Rheinland),3397,"3,3",1403,"3,2",1994,"3,4","17,2",2016,outgoing commuters,"51,2249","6,9073",Düsseldorf,"6,7735","51,2277"
71,Erkrath,2756,"2,7",1264,"2,9",1492,"2,6","8,4",2016,outgoing commuters,"51,1139","6,9805",Düsseldorf,"6,7735","51,2277"
72,Monheim am Rhein,1730,"1,7",824,"1,9",906,"1,6","16,5",2016,outgoing commuters,"51,0969","6,9474",Düsseldorf,"6,7735","51,2277"
73,Neuss,8424,"8,3",3613,"8,4",4811,"8,2","10,3",2016,outgoing commuters,"51,2042","6,6879",Düsseldorf,"6,7735","51,2277"
74,Meerbusch,2006,2,1016,"2,4",990,"1,7","11,1",2016,outgoing commuters,"51,2622","6,6751",Düsseldorf,"6,7735","51,2277"
75,Dormagen,793,"0,8",253,"0,6",540,"0,9","14,6",2016,outgoing commuters,"51,2209","6,6194",Düsseldorf,"6,7735","51,2277"
76,Kaarst,726,"0,7",330,"0,8",396,"0,7",14,2016,outgoing commuters,"51,0973","6,6864",Düsseldorf,"6,7735","51,2277"
77,Grevenbroich,686,"0,7",280,"0,6",406,"0,7","21,7",2016,outgoing commuters,"51,0956","6,8397",Düsseldorf,"6,7735","51,2277"
78,Willich,775,"0,8",291,"0,7",484,"0,8","20,6",2016,outgoing commuters,"51,2643","6,5491",Düsseldorf,"6,7735","51,2277"
79,Viersen,458,"0,5",243,"0,6",215,"0,4","31,5",2016,outgoing commuters,"51,255","6,3934",Düsseldorf,"6,7735","51,2277"
80,Kempen,195,"0,2",88,"0,2",107,"0,2","30,5",2016,outgoing commuters,"51,2889","6,3986",Düsseldorf,"6,7735","51,2277"
81,Tönisvorst,145,"0,1",78,"0,2",67,"0,1","26,6",2016,outgoing commuters,"51,366","6,4153",Düsseldorf,"6,7735","51,2277"
82,Nettetal,108,"0,1",53,"0,1",55,"0,1","40,1",2016,outgoing commuters,"51,3167","6,2833",Düsseldorf,"6,7735","51,2277"
83,alle sonstigen Orte,28244,"27,8",11157,"25,8",17087,"29,3",x,2016,outgoing commuters,"0,0","0,0",Düsseldorf,"6,7735","51,2277"
84,Köln,9 466    ,9,4 029    ,"9,1",5 437    ,9,"34,2",2017,outgoing commuters,"51,4344","6,7623",Düsseldorf,"6,7735","51,2277"
85,Essen,5 616    ,"5,4",2 517    ,"5,7",3 099    ,"5,1","26,4",2017,outgoing commuters,"50,9375","6,9603",Düsseldorf,"6,7735","51,2277"
